material_id,cif,formula,tc
655,"# generated using pymatgen
data_MgBeNi2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.81843928
_cell_length_b   2.81843928
_cell_length_c   5.84120032
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgBeNi2
_chemical_formula_sum   'Mg1 Be1 Ni2'
_cell_volume   46.40015862
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.50000000  0.50000000  0.75215846  1
  Be  Be1  1  0.00000000  0.00000000  0.43217151  1
  Ni  Ni2  1  0.00000000  0.00000000  0.03444972  1
  Ni  Ni3  1  0.50000000  0.50000000  0.28122028  1
",MgBeNi2,1.6006706799670662
617,"# generated using pymatgen
data_HfIr3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.92719057
_cell_length_b   3.92719057
_cell_length_c   3.92719057
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfIr3
_chemical_formula_sum   'Hf1 Ir3'
_cell_volume   60.56837612
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.00000000  0.00000000  0.00000000  1
  Ir  Ir1  1  0.00000000  0.50000000  0.50000000  1
  Ir  Ir2  1  0.50000000  0.50000000  0.00000000  1
  Ir  Ir3  1  0.50000000  0.00000000  0.50000000  1
",HfIr3,0.2479432847157672
802,"# generated using pymatgen
data_Li2BS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.46292030
_cell_length_b   3.46292030
_cell_length_c   6.07416893
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2BS2
_chemical_formula_sum   'Li2 B1 S2'
_cell_volume   63.08156940
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.33333333  0.66666667  0.61492416  1
  Li  Li1  1  0.66666667  0.33333333  0.38507559  1
  B  B2  1  0.00000000  0.00000000  0.00000000  1
  S  S3  1  0.33333333  0.66666667  0.19943278  1
  S  S4  1  0.66666667  0.33333333  0.80056697  1
",Li2BS2,4.746482785868041
635,"# generated using pymatgen
data_LiY2Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.10701701
_cell_length_b   5.10701701
_cell_length_c   5.10701701
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiY2Al
_chemical_formula_sum   'Li1 Y2 Al1'
_cell_volume   94.18612200
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.50000000  0.50000000  0.50000000  1
  Y  Y1  1  0.75000000  0.75000000  0.75000000  1
  Y  Y2  1  0.25000000  0.25000000  0.25000000  1
  Al  Al3  1  0.00000000  0.00000000  0.00000000  1
",LiY2Al,0.06157906850005727
704,"# generated using pymatgen
data_ZrBe2Pd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.24933493
_cell_length_b   4.24933493
_cell_length_c   2.93702164
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrBe2Pd
_chemical_formula_sum   'Zr1 Be2 Pd1'
_cell_volume   53.03335131
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.00000000  0.00000000  0.50000000  1
  Be  Be1  1  0.50000000  0.00000000  0.00000000  1
  Be  Be2  1  0.00000000  0.50000000  0.00000000  1
  Pd  Pd3  1  0.50000000  0.50000000  0.50000000  1
",ZrBe2Pd,1.3094322497458786
290,"# generated using pymatgen
data_Sc3TlB
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.63227186
_cell_length_b   4.63227186
_cell_length_c   4.63227186
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sc3TlB
_chemical_formula_sum   'Sc3 Tl1 B1'
_cell_volume   99.39902349
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.50000000  0.00000000  0.50000000  1
  Sc  Sc1  1  0.00000000  0.50000000  0.50000000  1
  Sc  Sc2  1  0.50000000  0.50000000  0.00000000  1
  Tl  Tl3  1  0.00000000  0.00000000  0.00000000  1
  B  B4  1  0.50000000  0.50000000  0.50000000  1
",Sc3TlB,5.71940666570184
305,"# generated using pymatgen
data_ScSnRu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.48336419
_cell_length_b   4.48336419
_cell_length_c   4.48336419
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ScSnRu2
_chemical_formula_sum   'Sc1 Sn1 Ru2'
_cell_volume   63.72312384
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.50000000  0.50000000  0.50000000  1
  Sn  Sn1  1  0.00000000  0.00000000  0.00000000  1
  Ru  Ru2  1  0.25000000  0.25000000  0.25000000  1
  Ru  Ru3  1  0.75000000  0.75000000  0.75000000  1
",ScSnRu2,0.01624440878727725
534,"# generated using pymatgen
data_HfScOs2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.52933007
_cell_length_b   4.52933007
_cell_length_c   4.52933007
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfScOs2
_chemical_formula_sum   'Hf1 Sc1 Os2'
_cell_volume   65.70325946
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.50000000  0.50000000  1
  Sc  Sc1  1  0.00000000  0.00000000  0.00000000  1
  Os  Os2  1  0.25000000  0.25000000  0.25000000  1
  Os  Os3  1  0.75000000  0.75000000  0.75000000  1
",HfScOs2,0.003641644913595396
560,"# generated using pymatgen
data_Al2NiOs
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.15398903
_cell_length_b   4.15398903
_cell_length_c   4.15398903
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al2NiOs
_chemical_formula_sum   'Al2 Ni1 Os1'
_cell_volume   50.68518518
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.25000000  0.25000000  0.25000000  1
  Al  Al1  1  0.75000000  0.75000000  0.75000000  1
  Ni  Ni2  1  0.50000000  0.50000000  0.50000000  1
  Os  Os3  1  0.00000000  0.00000000  0.00000000  1
",Al2NiOs,1.6818009385809194e-13
703,"# generated using pymatgen
data_TiBeZn2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.17214672
_cell_length_b   4.17214672
_cell_length_c   4.17214672
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiBeZn2
_chemical_formula_sum   'Ti1 Be1 Zn2'
_cell_volume   51.35275187
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.25000000  0.25000000  0.25000000  1
  Be  Be1  1  0.50000000  0.50000000  0.50000000  1
  Zn  Zn2  1  0.00000000  0.00000000  0.00000000  1
  Zn  Zn3  1  0.75000000  0.75000000  0.75000000  1
",TiBeZn2,1.3966175347200904
